Era,Set,Code,Release Date,Notes
Sword & Shield,Sword & Shield Black Star Promos,SSP,November 2019 - August 2023,Special product/promo set
Sword & Shield,Sword & Shield,SSH,2020-02-07,
Sword & Shield,Rebel Clash,RCL,2020-05-01,
Sword & Shield,Darkness Ablaze,DAA,2020-08-14,
Sword & Shield,Pokemon Futsal,FUT,2020-09-11,Special product/promo set
Sword & Shield,Champion's Path,CPA,2020-09-25,Special expansion
Sword & Shield,Vivid Voltage,VIV,2020-11-13,
Sword & Shield,McDonald's Collection 2021,MCD21,2021-02-09,Special product/promo set
Sword & Shield,Shining Fates,SHF,2021-02-19,Special expansion
Sword & Shield,Battle Styles,BST,2021-03-19,
Sword & Shield,Chilling Reign,CRE,2021-06-18,
Sword & Shield,Evolving Skies,EVS,2021-08-27,
Sword & Shield,Celebrations,CEL,2021-10-08,Special expansion
Sword & Shield,Celebrations Classic Collection,,2021-10-08,Special product/promo set
Sword & Shield,Fusion Strike,FST,2021-11-12,
Sword & Shield,Brilliant Stars,BRS,2022-02-25,
Sword & Shield,Astral Radiance,ASR,2022-05-27,
Sword & Shield,Pokemon GO,PGO,2022-07-01,Special expansion
Sword & Shield,McDonald's Collection 2022,MCD22,2022-08-03,Special product/promo set
Sword & Shield,Trick or Trade Booster Bundle,,2022-09-01,Special product/promo set
Sword & Shield,Lost Origin,LOR,2022-09-09,
Sword & Shield,Play! Pokemon Prize Pack Series One,PPS1,2022-11-09,Special product/promo set
Sword & Shield,Silver Tempest,SIT,2022-11-11,
Sword & Shield,Play! Pokemon Prize Pack Series Two,PPS2,2023-01-19,Special product/promo set
Sword & Shield,Crown Zenith,CRZ,2023-01-20,Special expansion
Scarlet & Violet,Scarlet & Violet Black Star Promos,,January 2023 - Present,Special product/promo set
Scarlet & Violet,Scarlet & Violet,SVI,2023-03-31,
Scarlet & Violet,SVE Basic Energies,SVE,2023-03-31,Special product/promo set
Scarlet & Violet,Paldea Evolved,PAL,2023-06-09,
Scarlet & Violet,McDonald's Collection 2023,M23,2023-07-27,Special product/promo set
Scarlet & Violet,Obsidian Flames,OBF,2023-08-11,
Scarlet & Violet,Play! Pokemon Prize Pack Series Three,PPS3,2023-08-14,Special product/promo set
Scarlet & Violet,Trick or Trade 2023,,2023-09-01,Special product/promo set
Scarlet & Violet,151,MEW,2023-09-22,Special expansion
Scarlet & Violet,Paradox Rift,PAR,2023-11-03,
Scarlet & Violet,Pokemon Trading Card Game Classic,CL,2023-11-17,Special product/promo set
Scarlet & Violet,Paldean Fates,PAF,2024-01-26,Special expansion
Scarlet & Violet,Play! Pokemon Prize Pack Series Four,PPS4,2024-02-14,Special product/promo set
Scarlet & Violet,Temporal Forces,TEF,2024-03-22,
Scarlet & Violet,Twilight Masquerade,TWM,2024-05-24,
Scarlet & Violet,Shrouded Fable,SFA,2024-08-02,Special expansion
Scarlet & Violet,Play! Pokemon Prize Pack Series Five,PPS5,2024-08-14,Special product/promo set
Scarlet & Violet,Trick or Trade 2024,,2024-08-30,Special product/promo set
Scarlet & Violet,Stellar Crown,SCR,2024-09-13,
Scarlet & Violet,Surging Sparks,SSP,2024-11-08,
Scarlet & Violet,Prismatic Evolutions,PRE,2025-01-17,Special expansion
Scarlet & Violet,McDonald's Dragon Discovery,M24,2025-01-21,Special product/promo set
Scarlet & Violet,Play! Pokemon Prize Pack Series Six,PPS6,2025-02-14,Special product/promo set
Scarlet & Violet,Journey Together,JTG,2025-03-28,
Scarlet & Violet,Destined Rivals,DRI,2025-05-30,
Scarlet & Violet,Black Bolt,BLK,2025-07-18,Special expansion
Scarlet & Violet,White Flare,WHT,2025-07-18,Special expansion
Scarlet & Violet,Play! Pokemon Prize Pack Series Seven,PPS7,2025-08-14,Special product/promo set
Mega Evolution,Mega Evolution,MEG,2025-09-26,
Mega Evolution,Mega Evolution Black Star Promos,MEP,September 2025 - Present,Special product/promo set
Mega Evolution,Phantasmal Flames,PFL,2025-11-14,
Mega Evolution,Play! Pokemon Prize Pack Series Eight,PPS8,2026-01-01,Special product/promo set
Mega Evolution,Ascended Heroes,ASC,2026-01-30,Special expansion
Mega Evolution,Perfect Order,POR,2026-03-27,
Mega Evolution,Chaos Rising,CRI,2026-05-22,
Mega Evolution,Play! Pokemon Prize Pack Series Nine,PPS9,2026-07-01,Special product/promo set
Mega Evolution,Pitch Black,PBL,2026-07-17,
