supplier_name_raw,sku,note
Ninja Spinner,NS-JPN-BB,Japanese booster box
Nihil Zero,MYZ-JP-BB,Japanese booster box
Mega Dream,JP-MD-BOX,Japanese booster box
Inferno X,JP-INFX-BOX,Japanese booster box
Mega Brave,JP-MB-BOX,Japanese booster box
Mega Symphonia,JP-MS-BOX,Japanese booster box
Black Bolt,JP-BB-BOX,Japanese booster box
White Flare,JP-WF-BOX,Japanese booster box
The Glory of Team Rocket,JP-TR-BB,Japanese booster box
Hot Air Arena,JP-HWA-BOX,Japanese booster box
Battle Partners,JP-BP-BOX,Japanese booster box
Terastal Festival,JP-TF-BB,Japanese booster box
Super-electric breaker,JP-SEB-BOX,Japanese booster box
Stellar miracle,JP-SM-BOX,Japanese booster box
Night Wanderer,JP-NW-BOX,Japanese booster box
Mask of Transfiguration,JP-TM-BOX,Japanese booster box
Crimson haze,JP-CH-BOX,Japanese booster box
Wild Force,JP-WIFO-BOX,Japanese booster box
Cyber Judge,JP-CJ-BOX,Japanese booster box
Shiny Treasures,JP-SHINY-BOX,Japanese booster box
Ancient Roar,JP-AR-BOX,Japanese booster box
Future Flash,JP-FF-BOX,Japanese booster box
Raging Surf,JP-RS-BOX,Japanese booster box
151,JP-151-BOX,Japanese booster box
VSTAR Universe,JP-VSTAR-BOX,Japanese booster box
Triplet Beat Box,JP-TB-BOX,Japanese booster box
Violet,JP-V-BOX,Japanese booster box
AR Bulk 100 cards,JP-AR-BULK,Supplier bulk lot
SR Bulk 100 cards,JP-SR-BULK,Supplier bulk lot
